,trade_date,trade_time,open,high,low,close,volume,oi,contract,period_name
0,2023-04-24,09:05:00,7504.0,7532.0,7480.0,7530.0,45559.0,520239.0,y2309,5m
1,2023-04-24,09:10:00,7530.0,7554.0,7518.0,7526.0,24465.0,520528.0,y2309,5m
2,2023-04-24,09:15:00,7524.0,7536.0,7506.0,7534.0,16381.0,522226.0,y2309,5m
3,2023-04-24,09:20:00,7532.0,7542.0,7522.0,7536.0,10304.0,521973.0,y2309,5m
4,2023-04-24,09:25:00,7536.0,7554.0,7534.0,7542.0,14184.0,521109.0,y2309,5m
5,2023-04-24,09:30:00,7542.0,7548.0,7532.0,7544.0,7852.0,520704.0,y2309,5m
6,2023-04-24,09:35:00,7544.0,7556.0,7536.0,7540.0,11217.0,520930.0,y2309,5m
7,2023-04-24,09:40:00,7540.0,7570.0,7530.0,7566.0,15776.0,520062.0,y2309,5m
8,2023-04-24,09:45:00,7566.0,7568.0,7532.0,7540.0,10487.0,520363.0,y2309,5m
9,2023-04-24,09:50:00,7538.0,7544.0,7526.0,7528.0,9111.0,520792.0,y2309,5m
10,2023-04-24,09:55:00,7528.0,7536.0,7524.0,7528.0,6694.0,520684.0,y2309,5m
11,2023-04-24,10:00:00,7528.0,7538.0,7524.0,7532.0,8845.0,520606.0,y2309,5m
12,2023-04-24,10:05:00,7532.0,7542.0,7532.0,7538.0,6280.0,520647.0,y2309,5m
13,2023-04-24,10:10:00,7538.0,7544.0,7534.0,7544.0,4108.0,520684.0,y2309,5m
14,2023-04-24,10:15:00,7544.0,7560.0,7538.0,7558.0,9039.0,519401.0,y2309,5m
15,2023-04-24,10:35:00,7558.0,7562.0,7542.0,7548.0,9290.0,520075.0,y2309,5m
16,2023-04-24,10:40:00,7550.0,7552.0,7536.0,7538.0,6506.0,519602.0,y2309,5m
17,2023-04-24,10:45:00,7538.0,7548.0,7530.0,7538.0,9131.0,519570.0,y2309,5m
18,2023-04-24,10:50:00,7540.0,7548.0,7538.0,7548.0,2798.0,519546.0,y2309,5m
19,2023-04-24,10:55:00,7548.0,7548.0,7530.0,7534.0,5486.0,519033.0,y2309,5m
20,2023-04-24,11:00:00,7536.0,7538.0,7526.0,7530.0,6157.0,518798.0,y2309,5m
21,2023-04-24,11:05:00,7532.0,7538.0,7532.0,7538.0,4321.0,517567.0,y2309,5m
22,2023-04-24,11:10:00,7538.0,7540.0,7532.0,7536.0,2955.0,517421.0,y2309,5m
23,2023-04-24,11:15:00,7536.0,7544.0,7530.0,7536.0,5607.0,517205.0,y2309,5m
24,2023-04-24,11:20:00,7534.0,7542.0,7526.0,7534.0,8145.0,516643.0,y2309,5m
25,2023-04-24,11:25:00,7534.0,7548.0,7530.0,7538.0,7886.0,516424.0,y2309,5m
26,2023-04-24,11:30:00,7538.0,7544.0,7532.0,7538.0,5502.0,516150.0,y2309,5m
27,2023-04-24,13:35:00,7536.0,7536.0,7522.0,7526.0,8724.0,516655.0,y2309,5m
28,2023-04-24,13:40:00,7524.0,7528.0,7504.0,7508.0,12068.0,517678.0,y2309,5m
29,2023-04-24,13:45:00,7508.0,7526.0,7506.0,7524.0,7313.0,517423.0,y2309,5m
30,2023-04-24,13:50:00,7524.0,7528.0,7518.0,7522.0,5962.0,517284.0,y2309,5m
31,2023-04-24,13:55:00,7522.0,7526.0,7510.0,7512.0,4749.0,517227.0,y2309,5m
32,2023-04-24,14:00:00,7510.0,7526.0,7508.0,7520.0,7303.0,517282.0,y2309,5m
33,2023-04-24,14:05:00,7522.0,7538.0,7518.0,7530.0,9732.0,516518.0,y2309,5m
34,2023-04-24,14:10:00,7530.0,7546.0,7530.0,7544.0,6561.0,516636.0,y2309,5m
35,2023-04-24,14:15:00,7544.0,7544.0,7526.0,7530.0,6726.0,516474.0,y2309,5m
36,2023-04-24,14:20:00,7532.0,7536.0,7522.0,7534.0,6240.0,516527.0,y2309,5m
37,2023-04-24,14:25:00,7532.0,7536.0,7526.0,7528.0,6596.0,517133.0,y2309,5m
38,2023-04-24,14:30:00,7528.0,7534.0,7526.0,7528.0,4258.0,517327.0,y2309,5m
39,2023-04-24,14:35:00,7528.0,7532.0,7514.0,7516.0,8463.0,517257.0,y2309,5m
40,2023-04-24,14:40:00,7516.0,7520.0,7508.0,7510.0,8768.0,517653.0,y2309,5m
41,2023-04-24,14:45:00,7510.0,7512.0,7498.0,7510.0,11374.0,517675.0,y2309,5m
42,2023-04-24,14:50:00,7512.0,7514.0,7496.0,7500.0,9965.0,517135.0,y2309,5m
43,2023-04-24,14:55:00,7500.0,7514.0,7500.0,7510.0,10530.0,516610.0,y2309,5m
44,2023-04-24,15:00:00,7508.0,7532.0,7508.0,7528.0,14397.0,515740.0,y2309,5m
45,2023-04-24,21:05:00,7538.0,7552.0,7536.0,7544.0,24094.0,517776.0,y2309,5m
46,2023-04-24,21:10:00,7544.0,7556.0,7536.0,7550.0,11497.0,518484.0,y2309,5m
47,2023-04-24,21:15:00,7550.0,7570.0,7546.0,7554.0,15736.0,518449.0,y2309,5m
48,2023-04-24,21:20:00,7554.0,7560.0,7548.0,7552.0,8176.0,519106.0,y2309,5m
49,2023-04-24,21:25:00,7554.0,7578.0,7550.0,7570.0,13468.0,517605.0,y2309,5m
50,2023-04-24,21:30:00,7570.0,7572.0,7560.0,7560.0,6624.0,518815.0,y2309,5m
51,2023-04-24,21:35:00,7558.0,7568.0,7552.0,7562.0,10599.0,519374.0,y2309,5m
52,2023-04-24,21:40:00,7562.0,7562.0,7548.0,7556.0,7534.0,519401.0,y2309,5m
53,2023-04-24,21:45:00,7556.0,7564.0,7556.0,7562.0,5785.0,520036.0,y2309,5m
54,2023-04-24,21:50:00,7562.0,7566.0,7550.0,7560.0,6207.0,519844.0,y2309,5m
55,2023-04-24,21:55:00,7562.0,7602.0,7560.0,7598.0,23272.0,519041.0,y2309,5m
56,2023-04-24,22:00:00,7598.0,7600.0,7584.0,7586.0,9604.0,518643.0,y2309,5m
57,2023-04-24,22:05:00,7584.0,7602.0,7576.0,7600.0,12642.0,519403.0,y2309,5m
58,2023-04-24,22:10:00,7602.0,7620.0,7600.0,7616.0,15370.0,518867.0,y2309,5m
59,2023-04-24,22:15:00,7616.0,7630.0,7614.0,7618.0,12509.0,517874.0,y2309,5m
60,2023-04-24,22:20:00,7616.0,7620.0,7604.0,7606.0,10153.0,517453.0,y2309,5m
61,2023-04-24,22:25:00,7606.0,7608.0,7592.0,7598.0,11781.0,517221.0,y2309,5m
62,2023-04-24,22:30:00,7598.0,7610.0,7590.0,7606.0,8668.0,518049.0,y2309,5m
63,2023-04-24,22:35:00,7606.0,7614.0,7598.0,7606.0,6860.0,517917.0,y2309,5m
64,2023-04-24,22:40:00,7608.0,7612.0,7598.0,7598.0,6119.0,517797.0,y2309,5m
65,2023-04-24,22:45:00,7598.0,7604.0,7586.0,7588.0,8954.0,517709.0,y2309,5m
66,2023-04-24,22:50:00,7590.0,7602.0,7588.0,7602.0,5254.0,517476.0,y2309,5m
67,2023-04-24,22:55:00,7602.0,7608.0,7594.0,7598.0,5978.0,517008.0,y2309,5m
68,2023-04-24,23:00:00,7598.0,7602.0,7590.0,7600.0,7801.0,514689.0,y2309,5m
69,2023-04-25,09:05:00,7548.0,7568.0,7532.0,7564.0,33233.0,513705.0,y2309,5m
70,2023-04-25,09:10:00,7564.0,7566.0,7544.0,7558.0,14533.0,514158.0,y2309,5m
71,2023-04-25,09:15:00,7556.0,7568.0,7552.0,7568.0,10119.0,515006.0,y2309,5m
72,2023-04-25,09:20:00,7566.0,7568.0,7542.0,7550.0,13251.0,516461.0,y2309,5m
73,2023-04-25,09:25:00,7550.0,7554.0,7544.0,7548.0,5524.0,516705.0,y2309,5m
74,2023-04-25,09:30:00,7548.0,7554.0,7544.0,7552.0,6253.0,517084.0,y2309,5m
75,2023-04-25,09:35:00,7552.0,7552.0,7528.0,7538.0,13038.0,518350.0,y2309,5m
76,2023-04-25,09:40:00,7536.0,7542.0,7522.0,7532.0,8636.0,519011.0,y2309,5m
77,2023-04-25,09:45:00,7532.0,7536.0,7520.0,7522.0,8018.0,519585.0,y2309,5m
78,2023-04-25,09:50:00,7522.0,7530.0,7516.0,7524.0,7469.0,519912.0,y2309,5m
79,2023-04-25,09:55:00,7522.0,7528.0,7512.0,7518.0,5304.0,519952.0,y2309,5m
80,2023-04-25,10:00:00,7516.0,7526.0,7512.0,7514.0,5146.0,520672.0,y2309,5m
81,2023-04-25,10:05:00,7514.0,7528.0,7512.0,7524.0,6547.0,521307.0,y2309,5m
82,2023-04-25,10:10:00,7524.0,7532.0,7522.0,7526.0,5375.0,521046.0,y2309,5m
83,2023-04-25,10:15:00,7526.0,7528.0,7514.0,7514.0,4361.0,521635.0,y2309,5m
84,2023-04-25,10:35:00,7512.0,7522.0,7490.0,7504.0,18733.0,522554.0,y2309,5m
85,2023-04-25,10:40:00,7504.0,7524.0,7500.0,7518.0,11925.0,522728.0,y2309,5m
86,2023-04-25,10:45:00,7516.0,7522.0,7506.0,7508.0,5359.0,523049.0,y2309,5m
87,2023-04-25,10:50:00,7508.0,7526.0,7508.0,7522.0,4436.0,523337.0,y2309,5m
88,2023-04-25,10:55:00,7522.0,7526.0,7520.0,7520.0,3370.0,523494.0,y2309,5m
89,2023-04-25,11:00:00,7522.0,7524.0,7514.0,7520.0,2851.0,523334.0,y2309,5m
90,2023-04-25,11:05:00,7520.0,7524.0,7510.0,7514.0,3923.0,523419.0,y2309,5m
91,2023-04-25,11:10:00,7514.0,7514.0,7504.0,7506.0,5421.0,523970.0,y2309,5m
92,2023-04-25,11:15:00,7504.0,7510.0,7490.0,7492.0,9073.0,525533.0,y2309,5m
93,2023-04-25,11:20:00,7492.0,7504.0,7492.0,7504.0,7913.0,527125.0,y2309,5m
94,2023-04-25,11:25:00,7502.0,7516.0,7500.0,7514.0,5943.0,526730.0,y2309,5m
95,2023-04-25,11:30:00,7512.0,7516.0,7504.0,7508.0,6212.0,526658.0,y2309,5m
96,2023-04-25,13:35:00,7506.0,7510.0,7488.0,7498.0,12541.0,528302.0,y2309,5m
97,2023-04-25,13:40:00,7496.0,7506.0,7488.0,7504.0,7320.0,529263.0,y2309,5m
98,2023-04-25,13:45:00,7504.0,7510.0,7494.0,7498.0,5733.0,529431.0,y2309,5m
99,2023-04-25,13:50:00,7498.0,7504.0,7494.0,7498.0,4505.0,529531.0,y2309,5m
100,2023-04-25,13:55:00,7496.0,7504.0,7488.0,7500.0,7082.0,530336.0,y2309,5m
101,2023-04-25,14:00:00,7502.0,7504.0,7496.0,7496.0,4158.0,530747.0,y2309,5m
102,2023-04-25,14:05:00,7498.0,7510.0,7494.0,7508.0,4519.0,530529.0,y2309,5m
103,2023-04-25,14:10:00,7506.0,7550.0,7506.0,7548.0,24036.0,526276.0,y2309,5m
104,2023-04-25,14:15:00,7546.0,7562.0,7538.0,7562.0,16663.0,524813.0,y2309,5m
105,2023-04-25,14:20:00,7560.0,7578.0,7560.0,7564.0,16304.0,523905.0,y2309,5m
106,2023-04-25,14:25:00,7564.0,7568.0,7548.0,7556.0,11242.0,524013.0,y2309,5m
107,2023-04-25,14:30:00,7556.0,7556.0,7542.0,7554.0,8165.0,524865.0,y2309,5m
108,2023-04-25,14:35:00,7552.0,7564.0,7546.0,7546.0,9308.0,524603.0,y2309,5m
109,2023-04-25,14:40:00,7546.0,7552.0,7536.0,7536.0,7635.0,524312.0,y2309,5m
110,2023-04-25,14:45:00,7538.0,7544.0,7534.0,7540.0,9093.0,525177.0,y2309,5m
111,2023-04-25,14:50:00,7540.0,7540.0,7524.0,7530.0,7892.0,525609.0,y2309,5m
112,2023-04-25,14:55:00,7530.0,7534.0,7528.0,7530.0,4351.0,525094.0,y2309,5m
113,2023-04-25,15:00:00,7532.0,7548.0,7526.0,7548.0,8960.0,523823.0,y2309,5m
114,2023-04-25,21:05:00,7536.0,7538.0,7512.0,7526.0,29182.0,526245.0,y2309,5m
115,2023-04-25,21:10:00,7526.0,7544.0,7518.0,7544.0,14325.0,528109.0,y2309,5m
116,2023-04-25,21:15:00,7542.0,7568.0,7536.0,7546.0,25227.0,530301.0,y2309,5m
117,2023-04-25,21:20:00,7544.0,7556.0,7534.0,7542.0,10026.0,530408.0,y2309,5m
118,2023-04-25,21:25:00,7542.0,7550.0,7540.0,7546.0,5017.0,531013.0,y2309,5m
119,2023-04-25,21:30:00,7546.0,7548.0,7530.0,7536.0,7087.0,531414.0,y2309,5m
120,2023-04-25,21:35:00,7538.0,7542.0,7518.0,7522.0,14565.0,531746.0,y2309,5m
121,2023-04-25,21:40:00,7522.0,7526.0,7508.0,7510.0,15608.0,532043.0,y2309,5m
122,2023-04-25,21:45:00,7510.0,7510.0,7472.0,7484.0,41259.0,534958.0,y2309,5m
123,2023-04-25,21:50:00,7484.0,7488.0,7468.0,7486.0,21140.0,536061.0,y2309,5m
124,2023-04-25,21:55:00,7486.0,7494.0,7472.0,7474.0,13643.0,535926.0,y2309,5m
125,2023-04-25,22:00:00,7474.0,7480.0,7458.0,7462.0,16750.0,537175.0,y2309,5m
126,2023-04-25,22:05:00,7464.0,7482.0,7460.0,7476.0,13491.0,536461.0,y2309,5m
127,2023-04-25,22:10:00,7476.0,7498.0,7474.0,7478.0,17251.0,534913.0,y2309,5m
128,2023-04-25,22:15:00,7476.0,7480.0,7460.0,7462.0,13920.0,535904.0,y2309,5m
129,2023-04-25,22:20:00,7460.0,7466.0,7432.0,7448.0,30251.0,538624.0,y2309,5m
130,2023-04-25,22:25:00,7450.0,7460.0,7444.0,7448.0,10013.0,537640.0,y2309,5m
131,2023-04-25,22:30:00,7448.0,7452.0,7434.0,7438.0,10226.0,538386.0,y2309,5m
132,2023-04-25,22:35:00,7440.0,7446.0,7430.0,7436.0,12075.0,538666.0,y2309,5m
133,2023-04-25,22:40:00,7436.0,7438.0,7422.0,7434.0,11869.0,539348.0,y2309,5m
134,2023-04-25,22:45:00,7436.0,7452.0,7428.0,7444.0,13081.0,537528.0,y2309,5m
135,2023-04-25,22:50:00,7444.0,7466.0,7442.0,7458.0,12831.0,537488.0,y2309,5m
136,2023-04-25,22:55:00,7458.0,7468.0,7458.0,7460.0,9196.0,537288.0,y2309,5m
137,2023-04-25,23:00:00,7460.0,7464.0,7452.0,7454.0,9003.0,534149.0,y2309,5m
138,2023-04-26,09:05:00,7466.0,7490.0,7466.0,7480.0,27678.0,534576.0,y2309,5m
139,2023-04-26,09:10:00,7480.0,7492.0,7464.0,7468.0,16519.0,535205.0,y2309,5m
140,2023-04-26,09:15:00,7470.0,7480.0,7460.0,7478.0,9617.0,535576.0,y2309,5m
141,2023-04-26,09:20:00,7480.0,7516.0,7474.0,7512.0,25566.0,535528.0,y2309,5m
142,2023-04-26,09:25:00,7510.0,7518.0,7490.0,7494.0,16483.0,535375.0,y2309,5m
143,2023-04-26,09:30:00,7494.0,7536.0,7492.0,7534.0,21056.0,534693.0,y2309,5m
144,2023-04-26,09:35:00,7534.0,7538.0,7520.0,7530.0,14246.0,534214.0,y2309,5m
145,2023-04-26,09:40:00,7530.0,7538.0,7520.0,7530.0,12507.0,534817.0,y2309,5m
146,2023-04-26,09:45:00,7532.0,7546.0,7526.0,7540.0,11888.0,534276.0,y2309,5m
147,2023-04-26,09:50:00,7540.0,7542.0,7524.0,7526.0,10739.0,534002.0,y2309,5m
148,2023-04-26,09:55:00,7526.0,7538.0,7522.0,7536.0,7379.0,533826.0,y2309,5m
149,2023-04-26,10:00:00,7536.0,7542.0,7532.0,7540.0,7815.0,534471.0,y2309,5m
150,2023-04-26,10:05:00,7538.0,7542.0,7520.0,7528.0,12180.0,534898.0,y2309,5m
151,2023-04-26,10:10:00,7528.0,7580.0,7524.0,7576.0,22366.0,535405.0,y2309,5m
152,2023-04-26,10:15:00,7576.0,7578.0,7562.0,7564.0,16143.0,535805.0,y2309,5m
153,2023-04-26,10:35:00,7568.0,7568.0,7534.0,7540.0,21380.0,535264.0,y2309,5m
154,2023-04-26,10:40:00,7540.0,7548.0,7534.0,7544.0,7331.0,535433.0,y2309,5m
155,2023-04-26,10:45:00,7542.0,7562.0,7536.0,7562.0,6320.0,535881.0,y2309,5m
156,2023-04-26,10:50:00,7560.0,7576.0,7554.0,7572.0,11710.0,536647.0,y2309,5m
157,2023-04-26,10:55:00,7572.0,7584.0,7572.0,7578.0,11225.0,536354.0,y2309,5m
158,2023-04-26,11:00:00,7578.0,7586.0,7574.0,7584.0,7873.0,536346.0,y2309,5m
159,2023-04-26,11:05:00,7584.0,7584.0,7566.0,7578.0,9193.0,536641.0,y2309,5m
160,2023-04-26,11:10:00,7580.0,7592.0,7576.0,7584.0,10594.0,536444.0,y2309,5m
161,2023-04-26,11:15:00,7584.0,7586.0,7568.0,7570.0,9293.0,536376.0,y2309,5m
162,2023-04-26,11:20:00,7568.0,7576.0,7564.0,7566.0,7273.0,535707.0,y2309,5m
163,2023-04-26,11:25:00,7566.0,7578.0,7564.0,7578.0,5070.0,535876.0,y2309,5m
164,2023-04-26,11:30:00,7578.0,7584.0,7574.0,7578.0,4689.0,535984.0,y2309,5m
165,2023-04-26,13:35:00,7576.0,7580.0,7568.0,7570.0,12589.0,535585.0,y2309,5m
166,2023-04-26,13:40:00,7572.0,7576.0,7564.0,7570.0,6933.0,535652.0,y2309,5m
167,2023-04-26,13:45:00,7570.0,7582.0,7568.0,7576.0,6129.0,536544.0,y2309,5m
168,2023-04-26,13:50:00,7578.0,7580.0,7564.0,7570.0,5853.0,537223.0,y2309,5m
169,2023-04-26,13:55:00,7570.0,7572.0,7560.0,7570.0,5654.0,537486.0,y2309,5m
170,2023-04-26,14:00:00,7570.0,7580.0,7568.0,7574.0,9715.0,538680.0,y2309,5m
171,2023-04-26,14:05:00,7574.0,7578.0,7570.0,7576.0,4025.0,539071.0,y2309,5m
172,2023-04-26,14:10:00,7574.0,7588.0,7572.0,7576.0,12557.0,539416.0,y2309,5m
173,2023-04-26,14:15:00,7578.0,7578.0,7568.0,7570.0,8326.0,540193.0,y2309,5m
174,2023-04-26,14:20:00,7570.0,7580.0,7566.0,7566.0,9250.0,541319.0,y2309,5m
175,2023-04-26,14:25:00,7568.0,7572.0,7560.0,7568.0,6806.0,540972.0,y2309,5m
176,2023-04-26,14:30:00,7570.0,7582.0,7568.0,7580.0,8142.0,541590.0,y2309,5m
177,2023-04-26,14:35:00,7578.0,7618.0,7578.0,7608.0,27846.0,541347.0,y2309,5m
178,2023-04-26,14:40:00,7608.0,7610.0,7596.0,7600.0,8685.0,541674.0,y2309,5m
179,2023-04-26,14:45:00,7598.0,7606.0,7594.0,7598.0,6928.0,542081.0,y2309,5m
180,2023-04-26,14:50:00,7596.0,7598.0,7578.0,7586.0,12162.0,541696.0,y2309,5m
181,2023-04-26,14:55:00,7586.0,7596.0,7584.0,7592.0,5713.0,541566.0,y2309,5m
182,2023-04-26,15:00:00,7592.0,7600.0,7588.0,7598.0,12923.0,538513.0,y2309,5m
183,2023-04-26,21:05:00,7580.0,7580.0,7552.0,7576.0,32988.0,536338.0,y2309,5m
184,2023-04-26,21:10:00,7576.0,7580.0,7564.0,7578.0,10785.0,537437.0,y2309,5m
185,2023-04-26,21:15:00,7576.0,7596.0,7572.0,7594.0,17303.0,541774.0,y2309,5m
